# Extraterrestrial solar spectral irradiance at 1 AU. Columns: wavelength in MICROMETRES,
# spectral irradiance in W m-2 um-1.
#
# STATUS: MODELLED, NOT MEASURED. This is a 5778 K Planck exitance normalised so that its
# integral over 0.3-20.0 um is the 1361 W m-2 solar constant -- the standard
# effective-temperature model of the sun, NOT the ASTM E-490 tabulated standard. Do not cite it
# as E-490. ADR 0064 records why (no network on the authoring machine; inventing digits under a
# standard's name is worse than a model that says what it is) and how to swap the real table in:
# drop an E-490 CSV here in the same two columns, and nothing else in the repository changes.
#
# Expected error: a few percent above ~0.7 um, which is where every band this simulator
# configures lives, and badly wrong in the ultraviolet -- this model puts 9.1 % of the
# constant below 0.4 um against a real ~8 %. irsim.radiometry.solar therefore REFUSES a spectral
# response reaching below 0.7 um rather than quietly integrating the wrong region.
#
# Model band fractions (recorded so that swapping in E-490 shows exactly what moved):
#   UV  0.30-0.40:   123.78 W m-2 ( 9.09 %)
#   VIS 0.40-0.70:   512.61 W m-2 (37.66 %)
#   NIR 0.75-1.00:   251.52 W m-2 (18.48 %)
#   SWIR 0.90-1.70:   354.59 W m-2 (26.05 %)
#   MWIR 3.0-5.0 :    22.47 W m-2 ( 1.65 %)
#   LWIR 7.5-13.5:     1.90 W m-2 ( 0.14 %)

# Generated by scripts/generate_solar_spectra.py on 2026-09-15 (roadmap M11.3).
wavelength_um,irradiance_w_m2_um
1.3420,3.544834e+02
1.3440,3.530075e+02
1.3460,3.515388e+02
1.3480,3.500773e+02
1.3500,3.486229e+02
1.3520,3.471756e+02
1.3540,3.457354e+02
1.3560,3.443021e+02
1.3580,3.428759e+02
1.3600,3.414566e+02
1.3620,3.400442e+02
1.3640,3.386386e+02
1.3660,3.372399e+02
1.3680,3.358480e+02
1.3700,3.344629e+02
1.3720,3.330845e+02
1.3740,3.317127e+02
1.3760,3.303477e+02
1.3780,3.289892e+02
1.3800,3.276373e+02
1.3820,3.262920e+02
1.3840,3.249532e+02
1.3860,3.236208e+02
1.3880,3.222949e+02
1.3900,3.209755e+02
1.3920,3.196623e+02
1.3940,3.183556e+02
1.3960,3.170551e+02
1.3980,3.157609e+02
1.4000,3.144730e+02
1.4020,3.131912e+02
1.4040,3.119157e+02
1.4060,3.106462e+02
1.4080,3.093829e+02
1.4100,3.081257e+02
1.4120,3.068745e+02
1.4140,3.056293e+02
1.4160,3.043901e+02
1.4180,3.031569e+02
1.4200,3.019295e+02
1.4220,3.007081e+02
1.4240,2.994925e+02
1.4260,2.982827e+02
1.4280,2.970788e+02
1.4300,2.958805e+02
1.4320,2.946881e+02
1.4340,2.935013e+02
1.4360,2.923202e+02
1.4380,2.911447e+02
1.4400,2.899748e+02
1.4420,2.888106e+02
1.4440,2.876518e+02
1.4460,2.864986e+02
1.4480,2.853509e+02
1.4500,2.842087e+02
1.4520,2.830718e+02
1.4540,2.819404e+02
1.4560,2.808144e+02
1.4580,2.796937e+02
1.4600,2.785783e+02
1.4620,2.774683e+02
1.4640,2.763635e+02
1.4660,2.752639e+02
1.4680,2.741695e+02
1.4700,2.730803e+02
1.4720,2.719963e+02
1.4740,2.709174e+02
1.4760,2.698436e+02
1.4780,2.687748e+02
1.4800,2.677111e+02
1.4820,2.666525e+02
1.4840,2.655988e+02
1.4860,2.645501e+02
1.4880,2.635063e+02
1.4900,2.624674e+02
1.4920,2.614335e+02
1.4940,2.604043e+02
1.4960,2.593801e+02
1.4980,2.583606e+02
1.5000,2.573459e+02
1.5020,2.563360e+02
1.5040,2.553308e+02
1.5060,2.543303e+02
1.5080,2.533345e+02
1.5100,2.523434e+02
1.5120,2.513569e+02
1.5140,2.503750e+02
1.5160,2.493977e+02
1.5180,2.484249e+02
1.5200,2.474567e+02
1.5220,2.464930e+02
1.5240,2.455338e+02
1.5260,2.445791e+02
1.5280,2.436288e+02
1.5300,2.426829e+02
1.5320,2.417415e+02
1.5340,2.408044e+02
1.5360,2.398716e+02
1.5380,2.389432e+02
1.5400,2.380191e+02
1.5420,2.370993e+02
1.5440,2.361837e+02
1.5460,2.352724e+02
1.5480,2.343653e+02
1.5500,2.334623e+02
1.5520,2.325636e+02
1.5540,2.316690e+02
1.5560,2.307785e+02
1.5580,2.298922e+02
1.5600,2.290099e+02
1.5620,2.281317e+02
1.5640,2.272575e+02
1.5660,2.263874e+02
1.5680,2.255212e+02
1.5700,2.246591e+02
1.5720,2.238008e+02
1.5740,2.229466e+02
1.5760,2.220962e+02
1.5780,2.212498e+02
1.5800,2.204072e+02
1.5820,2.195685e+02
1.5840,2.187336e+02
1.5860,2.179025e+02
1.5880,2.170753e+02
1.5900,2.162518e+02
1.5920,2.154320e+02
1.5940,2.146160e+02
1.5960,2.138038e+02
1.5980,2.129952e+02
1.6000,2.121903e+02
1.6020,2.113890e+02
1.6040,2.105915e+02
1.6060,2.097975e+02
1.6080,2.090071e+02
1.6100,2.082203e+02
1.6120,2.074371e+02
1.6140,2.066575e+02
1.6160,2.058813e+02
1.6180,2.051087e+02
1.6200,2.043396e+02
1.6220,2.035739e+02
1.6240,2.028117e+02
1.6260,2.020530e+02
1.6280,2.012977e+02
1.6300,2.005457e+02
1.6320,1.997972e+02
1.6340,1.990520e+02
1.6360,1.983102e+02
1.6380,1.975718e+02
1.6400,1.968366e+02
1.6420,1.961047e+02
1.6440,1.953762e+02
1.6460,1.946509e+02
1.6480,1.939288e+02
1.6500,1.932100e+02
1.6520,1.924944e+02
1.6540,1.917820e+02
1.6560,1.910727e+02
1.6580,1.903667e+02
1.6600,1.896638e+02
1.6620,1.889640e+02
1.6640,1.882674e+02
1.6660,1.875738e+02
1.6680,1.868834e+02
1.6700,1.861960e+02
1.6720,1.855117e+02
1.6740,1.848304e+02
1.6760,1.841521e+02
1.6780,1.834769e+02
1.6800,1.828046e+02
1.6820,1.821354e+02
1.6840,1.814691e+02
1.6860,1.808057e+02
1.6880,1.801453e+02
1.6900,1.794878e+02
1.6920,1.788332e+02
1.6940,1.781814e+02
1.6960,1.775326e+02
1.6980,1.768866e+02
1.7000,1.762435e+02
1.7020,1.756032e+02
1.7040,1.749657e+02
1.7060,1.743310e+02
1.7080,1.736991e+02
1.7100,1.730700e+02
1.7120,1.724437e+02
1.7140,1.718200e+02
1.7160,1.711992e+02
1.7180,1.705810e+02
1.7200,1.699656e+02
1.7220,1.693528e+02
1.7240,1.687427e+02
1.7260,1.681353e+02
1.7280,1.675305e+02
1.7300,1.669284e+02
1.7320,1.663289e+02
1.7340,1.657320e+02
1.7360,1.651377e+02
1.7380,1.645460e+02
1.7400,1.639568e+02
1.7420,1.633702e+02
1.7440,1.627862e+02
1.7460,1.622047e+02
1.7480,1.616257e+02
1.7500,1.610493e+02
1.7520,1.604753e+02
1.7540,1.599038e+02
1.7560,1.593348e+02
1.7580,1.587682e+02
1.7600,1.582041e+02
1.7620,1.576424e+02
1.7640,1.570831e+02
1.7660,1.565263e+02
1.7680,1.559718e+02
1.7700,1.554198e+02
1.7720,1.548701e+02
1.7740,1.543227e+02
1.7760,1.537778e+02
1.7780,1.532351e+02
1.7800,1.526948e+02
1.7820,1.521568e+02
1.7840,1.516211e+02
1.7860,1.510877e+02
1.7880,1.505566e+02
1.7900,1.500277e+02
1.7920,1.495011e+02
1.7940,1.489768e+02
1.7960,1.484547e+02
1.7980,1.479348e+02
1.8000,1.474171e+02
1.8020,1.469017e+02
1.8040,1.463884e+02
1.8060,1.458773e+02
1.8080,1.453684e+02
1.8100,1.448616e+02
1.8120,1.443570e+02
1.8140,1.438545e+02
1.8160,1.433542e+02
1.8180,1.428560e+02
1.8200,1.423599e+02
1.8220,1.418658e+02
1.8240,1.413739e+02
1.8260,1.408841e+02
1.8280,1.403963e+02
1.8300,1.399106e+02
1.8320,1.394269e+02
1.8340,1.389452e+02
1.8360,1.384656e+02
1.8380,1.379880e+02
1.8400,1.375124e+02
1.8420,1.370388e+02
1.8440,1.365672e+02
1.8460,1.360976e+02
1.8480,1.356299e+02
1.8500,1.351642e+02
1.8520,1.347004e+02
1.8540,1.342386e+02
1.8560,1.337787e+02
1.8580,1.333208e+02
1.8600,1.328647e+02
1.8620,1.324106e+02
1.8640,1.319583e+02
1.8660,1.315079e+02
1.8680,1.310594e+02
1.8700,1.306128e+02
1.8720,1.301680e+02
1.8740,1.297251e+02
1.8760,1.292840e+02
1.8780,1.288447e+02
1.8800,1.284073e+02
1.8820,1.279716e+02
1.8840,1.275378e+02
1.8860,1.271058e+02
1.8880,1.266755e+02
1.8900,1.262470e+02
1.8920,1.258203e+02
1.8940,1.253954e+02
1.8960,1.249722e+02
1.8980,1.245508e+02
1.9000,1.241311e+02
1.9020,1.237131e+02
1.9040,1.232968e+02
1.9060,1.228822e+02
1.9080,1.224694e+02
1.9100,1.220582e+02
1.9120,1.216488e+02
1.9140,1.212410e+02
1.9160,1.208348e+02
1.9180,1.204304e+02
1.9200,1.200276e+02
1.9220,1.196264e+02
1.9240,1.192269e+02
1.9260,1.188290e+02
1.9280,1.184327e+02
1.9300,1.180380e+02
1.9320,1.176450e+02
1.9340,1.172535e+02
1.9360,1.168637e+02
1.9380,1.164754e+02
1.9400,1.160887e+02
1.9420,1.157036e+02
1.9440,1.153200e+02
1.9460,1.149380e+02
1.9480,1.145575e+02
1.9500,1.141786e+02
1.9520,1.138012e+02
1.9540,1.134254e+02
1.9560,1.130510e+02
1.9580,1.126782e+02
1.9600,1.123068e+02
1.9620,1.119370e+02
1.9640,1.115687e+02
1.9660,1.112018e+02
1.9680,1.108364e+02
1.9700,1.104725e+02
1.9720,1.101100e+02
1.9740,1.097490e+02
1.9760,1.093895e+02
1.9780,1.090314e+02
1.9800,1.086747e+02
1.9820,1.083194e+02
1.9840,1.079656e+02
1.9860,1.076132e+02
1.9880,1.072622e+02
1.9900,1.069126e+02
1.9920,1.065644e+02
1.9940,1.062175e+02
1.9960,1.058721e+02
1.9980,1.055280e+02
2.0000,1.051853e+02
2.0020,1.048440e+02
2.0040,1.045040e+02
2.0060,1.041654e+02
2.0080,1.038281e+02
2.0100,1.034922e+02
2.0120,1.031576e+02
2.0140,1.028243e+02
2.0160,1.024923e+02
2.0180,1.021617e+02
